Date	SWE_Inches
1947-04-01	1
1948-03-01	5
1948-04-01	18.1
1948-05-01	15.4
1949-02-01	13.8
1949-03-01	24.6
1949-04-01	32.2
1950-03-01	18.8
1950-04-01	19.6
1951-03-01	12.5
1951-04-01	7.6
1952-03-01	45.2
1952-04-01	57.1
1953-03-01	17.6
1953-04-01	18.3
1954-03-01	18.1
1954-04-01	25
1955-02-01	10.8
1955-03-01	13.5
1955-04-01	9.2
1956-02-01	22.1
1956-03-01	25.5
1956-04-01	18.2
1957-02-01	10.3
1957-03-01	12.8
1957-04-01	13.7
1958-02-01	11.9
1958-03-01	19.7
1958-04-01	37.6
1959-02-01	5.4
1959-03-01	15.3
1959-04-01	7.4
1960-02-01	8.9
1960-03-01	15.1
1960-04-01	7.8
1961-02-01	1.8
1961-04-01	1.1
1962-02-01	9.2
1962-03-01	33.3
1962-04-01	34.9
1963-03-01	0
1963-04-01	7.2
1964-02-01	12.1
1964-03-01	9.2
1964-04-01	10.9
1965-02-01	24.4
1965-03-01	22.4
1965-04-01	20.4
1966-02-01	14.7
1966-03-01	17.3
1966-04-01	6.5
1967-02-01	15.3
1967-03-01	13.8
1967-04-01	20.9
1968-02-01	9.5
1968-03-01	10.2
1968-04-01	12.4
1969-03-01	44.8
1969-04-01	46.7
1969-05-01	34.1
1970-04-01	5.6
1971-04-01	17.9
1972-04-01	0
1973-04-01	34.2
1974-04-01	19.6
1975-04-01	30.5
1976-04-01	3.8
1978-04-01	34.6
1979-02-01	
1979-04-01	23.3
1980-04-01	27.7
1981-04-01	14
1982-01-01	0
1982-02-01	0
1982-04-01	22.6
1983-04-01	57.6
1984-04-01	3.4
1985-04-01	20.8
1986-04-01	15.3
1987-04-01	7.7
1988-04-01	0
1989-03-01	11
1989-04-01	9.6
1989-05-01	0
1990-01-01	
1990-02-01	
1990-03-01	
1990-04-01	4.7
1990-05-01	
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	
1991-03-01	
1991-04-01	21.9
1991-05-01	
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	
1992-03-01	
1992-04-01	10.1
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	
1993-03-01	
1993-04-01	34.2
1993-05-01	
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	
1994-03-01	
1994-04-01	7.6
1994-05-01	
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	
1995-03-01	
1995-04-01	
1995-05-01	
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	
1996-03-01	
1996-04-01	18.3
1996-05-01	
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	
1997-03-01	
1997-04-01	9.9
1997-05-01	
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	
1998-04-01	35.2
1998-05-01	
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	
1999-03-01	
1999-04-01	19.5
1999-05-01	
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	
2000-04-01	14
2000-05-01	
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	
2001-03-01	
2001-04-01	
2001-05-01	
2001-06-01	
2002-01-01	
2002-02-01	
2002-03-01	
2002-04-01	
2002-05-01	
2002-06-01	
2003-01-01	
2003-02-01	
2003-03-01	
2003-04-01	
2003-05-01	
2003-06-01	
2004-01-01	
2004-02-01	
2004-03-01	
2004-04-01	
2004-05-01	
2004-06-01	
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	
2005-05-01	
2005-06-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	
2006-05-01	
2006-06-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
