Date	SWE_Inches
1944-04-01	17.1
1945-04-01	28.2
1946-04-01	22.8
1947-04-01	16.9
1948-05-01	15.5
1949-04-01	17
1950-04-01	20.7
1951-01-01	
1951-04-01	18.6
1952-04-01	37.6
1953-04-01	14.9
1954-02-01	9.2
1954-04-01	24
1955-02-01	14
1955-04-01	15.8
1956-02-01	31.4
1956-04-01	30.5
1957-02-01	6
1957-03-01	12.3
1957-04-01	15.1
1958-02-01	13.8
1958-03-01	22.2
1958-04-01	34.9
1959-02-01	5.4
1959-03-01	16.2
1959-04-01	14.3
1960-03-01	13.2
1960-04-01	13.5
1961-02-01	9.2
1961-03-01	7.6
1961-04-01	10.8
1962-03-01	26
1962-04-01	32.2
1963-03-01	19.8
1963-04-01	22.2
1964-02-01	8
1964-03-01	8.7
1964-04-01	9.7
1965-02-01	19.1
1965-03-01	20.6
1965-04-01	20.9
1966-02-01	16.2
1966-03-01	17.5
1966-04-01	16.6
1967-04-01	37.4
1967-05-01	42.9
1968-04-01	10.6
1969-04-01	50.3
1970-04-01	18.1
1971-04-01	17.7
1972-04-01	9.8
1973-04-01	31.8
1974-04-01	25.7
1974-05-01	25.1
1975-04-01	22.4
1976-04-01	4.2
1977-04-01	4.9
1978-04-01	41
1979-03-01	0
1979-04-01	
1979-05-01	0
1980-04-01	37.1
1981-04-01	17.4
1982-01-01	0
1982-02-01	0
1982-04-01	
1983-01-01	0
1983-02-01	0
1983-04-01	47.2
1983-05-01	0
1984-04-01	22.5
1986-04-01	42.1
1987-04-01	13
1988-04-01	13
1989-04-01	16.8
1990-01-01	
1990-02-01	
1990-03-01	
1990-04-01	11.8
1990-05-01	
1990-06-01	
1990-07-01	
1991-01-01	
1991-02-01	
1991-03-01	
1991-04-01	19.8
1991-05-01	
1991-06-01	
1991-07-01	
1992-01-01	
1992-02-01	
1992-03-01	
1992-04-01	13.1
1992-05-01	
1992-06-01	
1992-07-01	
1993-01-01	
1993-02-01	
1993-03-01	
1993-04-01	36.8
1993-05-01	
1993-06-01	
1993-07-01	
1994-01-01	
1994-02-01	
1994-03-01	
1994-04-01	13.6
1994-05-01	
1994-06-01	
1994-07-01	
1995-01-01	
1995-02-01	
1995-03-01	
1995-04-01	38.6
1995-05-01	
1995-06-01	
1995-07-01	
1996-01-01	
1996-02-01	
1996-03-01	
1996-04-01	24.1
1996-05-01	
1996-06-01	
1996-07-01	
1997-01-01	
1997-02-01	47.7
1997-03-01	
1997-04-01	27.1
1997-05-01	43.1
1997-06-01	
1997-07-01	
1998-01-01	
1998-02-01	
1998-03-01	
1998-04-01	
1998-05-01	46.4
1998-06-01	
1998-07-01	
1998-10-01	
1998-11-01	
1998-12-01	
1999-01-01	
1999-02-01	9.2
1999-03-01	
1999-04-01	16.2
1999-05-01	
1999-06-01	
1999-07-01	
1999-08-01	
1999-09-01	
1999-10-01	
1999-11-01	
1999-12-01	
2000-01-01	
2000-02-01	
2000-03-01	
2000-04-01	31.1
2000-05-01	
2000-06-01	
2000-07-01	
2000-08-01	
2000-09-01	
2001-01-01	
2001-02-01	
2001-03-01	
2001-04-01	
2001-05-01	
2001-06-01	
2002-01-01	
2002-02-01	
2002-03-01	
2002-04-01	17.9
2002-05-01	
2002-06-01	
2003-01-01	
2003-02-01	
2003-03-01	
2003-04-01	
2003-05-01	
2003-06-01	
2004-01-01	
2004-02-01	
2004-03-01	
2004-04-01	17.4
2004-05-01	
2004-06-01	
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	31.8
2005-05-01	
2005-06-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	34
2006-05-01	
2006-06-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	10.4
2007-05-01	
2007-06-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	21.2
2008-05-01	
2008-06-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2016-01-01	
2016-02-01	
2016-03-01	
2016-04-01	
2016-05-01	
2016-06-01	
2017-01-01	
2017-02-01	
2017-03-01	
2017-04-01	
2017-05-01	
